invoice_num,supplier,pdate,rdate,grade,thickness,width_billed,weight_billed,width_actual,weight_actual,batch_num
,1,04-08-2025,04-08-2025,JT,0.48,625,4170,639,4170,HW04212406
,1,04-08-2025,04-08-2025,JT,0.58,625,4170,640,4170,HW78362401
,1,04-08-2025,04-08-2025,JT,0.48,625,4170,640,4170,HW04212405
,1,04-08-2025,04-08-2025,JT,0.58,625,4155,636,4155,HW78362404
,1,04-08-2025,04-08-2025,JT,0.68,625,3895,637,3895,H078097401
,1,02-08-2025,02-08-2025,JT,0.68,625,4160,638,4160,H078096906
,1,02-08-2025,02-08-2025,JT,0.68,625,4175,634,4175,H078125902
,1,02-08-2025,02-08-2025,JT,0.68,625,3260,633,3260,HK03716703
,1,02-08-2025,02-08-2025,JT,0.68,625,4270,636,4270,H078125904
,1,02-08-2025,02-08-2025,JT,0.68,625,4220,636,4220,H078125903
,1,02-08-2025,02-08-2025,JT,0.68,625,3930,635,3930,H078632703
,1,01-08-2025,01-08-2025,JT,1.15,625,5204,632,5204,MP00796602
,1,01-08-2025,01-08-2025,JT,1.15,625,5367,638,5367,M4A0014911
,1,30-07-2025,30-07-2025,304,0.9,625,5060,627,5060,WT77195004
,1,30-07-2025,30-07-2025,304,0.9,625,5155,627,5155,HW77194804
,1,30-07-2025,30-07-2025,JT,0.9,625,4125,0,4125,H079242005
,1,30-07-2025,30-07-2025,JT,1.45,625,5175,0,5175,WT79335501
,1,30-07-2025,30-07-2025,JT,0.78,625,4165,0,4165,H079242706
,1,28-07-2025,28-07-2025,JT,0.9,625,4260,639,4260,H079241606
,1,25-07-2025,25-07-2025,JT,0.58,625,3565,0,3565,HK03856703
,1,25-07-2025,25-07-2025,JT,0.68,625,4210,642,4210,H078096102
,1,23-07-2025,23-07-2025,JT,0.78,625,4085,0,4085,H079227306
,1,19-07-2025,19-07-2025,304,0.8,625,4250,636,4250,H078070704
,1,17-07-2025,17-07-2025,304,0.6,625,4085,0,4085,T078608506
,1,17-07-2025,17-07-2025,304,0.7,625,4740,635,4740,HX03796302
