pdate,rdate,supplier_id,grade,thickness,width,slength,finish,qty,weight,invoice_num,sheet_batch
26-07-2025,26-07-2025,1,304,1.5,1250,2500,No-4,13,505,,K7K1027123 - INT
11-06-2025,11-06-2025,1,JT,0.8,1250,2500,No-4,125,2559,,K7K1073008
31-05-2025,31-05-2025,1,JT,0.8,1250,2500,No-4,124,2566,,K7K1065606
31-05-2025,31-05-2025,1,304,1.2,1250,2500,No-4,98,3006,,KL77196702
19-05-2025,19-05-2025,1,JT,0.8,1250,2500,No-4,102,2045,,K7K1065108
19-05-2025,19-05-2025,1,JT,0.8,1250,2500,No-4,146,3018,,K7K1065418
06-05-2025,06-05-2025,1,JT,0.78,1250,2500,No-4,40,816,,KW02501701
12-04-2025,12-04-2025,1,304,1.2,1250,2500,No-4,81,2505,,K7K1054003
12-04-2025,12-04-2025,1,304,1.2,1250,2500,No-4,81,2498,,K7K1054002
02-04-2025,02-04-2025,1,304,1.5,1250,2500,No-4,65,2522,,K7K1027123
02-04-2025,02-04-2025,1,304,1.5,1250,2500,No-4,43,1607,,FK02912105
02-04-2025,02-04-2025,1,304,0.8,1250,2500,No-4,132,2750,,KX02258704
02-04-2025,02-04-2025,1,JT,0.78,1250,2500,No-4,36,731,,KW02501709
02-04-2025,02-04-2025,1,304,1.5,1250,2500,No-4,54,2044,,F7K1003201
02-04-2025,02-04-2025,1,304,1.2,1250,2500,No-4,92,2691,,F7K1033402
02-04-2025,02-04-2025,1,304,0.9,1250,2500,No-4,117,2986,,K7K1028832
02-04-2025,02-04-2025,1,304,0.9,1250,2500,No-4,117,2981,,K7K1026108
02-04-2025,02-04-2025,1,304,0.9,1250,2500,No-4,42,1055,,FY74144808
